dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.294197,0.000000,18.301897,58.937906,74.271345,-239.584984,0.000000
0.010000,18.887170,0.000000,18.894870,59.656661,71.875495,-239.584984,0.000000
0.010000,19.487210,0.000000,19.494910,60.351457,69.479645,-239.584984,0.000000
0.010000,20.094079,0.000000,20.101779,61.022295,67.083795,-239.584984,0.000000
0.010000,20.707536,0.000000,20.715236,61.669175,64.687946,-239.584984,0.000000
0.010000,21.327343,0.000000,21.335043,62.292096,62.292096,-239.584984,0.000000
0.010000,21.953259,0.000000,21.960959,62.891058,59.896246,-239.584984,0.000000
0.010000,22.585044,0.000000,22.592744,63.466062,57.500396,-239.584984,0.000000
0.010000,23.222460,0.000000,23.230160,64.017108,55.104546,-239.584984,0.000000
0.010000,23.865267,0.000000,23.872967,64.544195,52.708696,-239.584984,0.000000
0.010000,24.513224,0.000000,24.520924,65.047323,50.312847,-239.584984,0.000000
0.010000,25.166093,0.000000,25.173793,65.526493,47.916997,-239.584984,0.000000
0.010000,25.823634,0.000000,25.831334,65.981705,45.521147,-239.584984,0.000000
0.010000,26.485608,0.000000,26.493308,66.412957,43.125297,-239.584984,0.000000
0.010000,27.151774,0.000000,27.159474,66.820252,40.729447,-239.584984,0.000000
0.010000,27.821893,0.000000,27.829593,67.203588,38.333597,-239.584984,0.000000
0.010000,28.495726,0.000000,28.503426,67.562965,35.937748,-239.584984,0.000000
0.010000,29.173032,0.000000,29.180732,67.898384,33.541898,-239.584984,0.000000
0.010000,29.853573,0.000000,29.861273,68.209845,31.146048,-239.584984,0.000000
0.010000,30.537109,0.000000,30.544809,68.497347,28.750198,-239.584984,0.000000
0.010000,31.223401,0.000000,31.231101,68.760890,26.354348,-239.584984,0.000000
0.010000,31.912207,0.000000,31.919907,69.000475,23.958498,-239.584984,0.000000
0.010000,32.603290,0.000000,32.610990,69.216102,21.562649,-239.584984,0.000000
0.010000,33.296410,0.000000,33.304110,69.407770,19.166799,-239.584984,0.000000
